model,exp_group,split,tag,train_dataset,test_dataset,n_train,n_test,train_frac_pool,train_frac_total,acc,prec,recall,f1
DistilBERT_LoRA,baseline,random,spam_assassin_rand,spam_assassin,spam_assassin,4635,1159,0.7999654815326199,0.7999654815326199,0.9465056082830026,0.9703264094955489,0.862796833773087,0.9134078212290503
DistilBERT_LoRA,baseline,random,enron_rand,enron,enron,27020,6755,0.8,0.8,0.9752775721687639,0.9757309941520468,0.975445776088863,0.9755883642742289
DistilBERT_LoRA,baseline,random,trec2007_rand,trec2007,trec2007,64619,16155,0.7999975239557283,0.7999975239557283,0.9861962240792325,0.987058237929318,0.9907074340527577,0.9888794694060739
DistilBERT_LoRA,baseline,random,combined_rand,combined,combined,96274,24069,0.7999966761672885,0.7999966761672885,0.977772238148656,0.9822687304701693,0.9789252607184241,0.9805941455983169
