model,tag,dataset,split,acc,prec,recall,f1
DistilBERT,spam_assassin_rand,spam_assassin,random,0.9930974978429681,0.9894459102902374,0.9894459102902374,0.9894459102902374
DistilBERT,enron_rand,enron,random,0.9930421909696521,0.994141769185706,0.9921075708857059,0.9931236283833211
DistilBERT,enron_time,enron,time,0.9714285714285714,0.9966033657557511,0.9741925747057048,0.9852705487292986
DistilBERT,trec2007_rand,trec2007,random,0.9974001857010214,0.9977027566919696,0.998101518784972,0.9979020979020979
DistilBERT,combined_rand,combined,random,0.9956375420665586,0.995946435034383,0.9964513325608343,0.9961988198240597
DistilBERT,combined_time,combined,time,0.9832980181976817,0.992903967020342,0.9801854693441857,0.9865037265829585
